"Table 1220: Passenger journeys, Great Britain, January 1872 to March 2025 [note 1]",,,
This worksheet contains one table. ,,,
Some cells refer to notes which can be found on the notes worksheet.,,,
"Some shorthand is used in this table, [b] = break in time series, [p] = provisional data, [x] = data not available",,,
Time period,"Passenger journeys
(million)
[note 2, 3]",,
Jan to Dec 1872 [note 4],407.0,,
Jan to Dec 1873,439.0,,
Jan to Dec 1874,461.0,,
Jan to Dec 1875,490.0,,
Jan to Dec 1876,517.0,,
Jan to Dec 1877,532.0,,
Jan to Dec 1878,547.0,,
Jan to Dec 1879,546.0,,
Jan to Dec 1880,597.0,,
Jan to Dec 1881,608.0,,
Jan to Dec 1882,636.0,,
Jan to Dec 1883,664.0,,
Jan to Dec 1884,675.0,,
Jan to Dec 1885,678.0,,
Jan to Dec 1886,707.0,,
Jan to Dec 1887,714.0,,
Jan to Dec 1888,723.0,,
Jan to Dec 1889,754.0,,
Jan to Dec 1890,796.0,,
Jan to Dec 1891,823.0,,
Jan to Dec 1892,842.0,,
Jan to Dec 1893,849.0,,
Jan to Dec 1894,887.0,,
Jan to Dec 1895,904.0,,
Jan to Dec 1896,954.0,,
Jan to Dec 1897,"1,005.0",,
Jan to Dec 1898,"1,036.0",,
Jan to Dec 1899,"1,079.0",,
Jan to Dec 1900,"1,186.0",,
Jan to Dec 1901,"1,222.0",,
Jan to Dec 1902,"1,257.0",,
Jan to Dec 1903,"1,277.0",,
Jan to Dec 1904,"1,292.0",,
Jan to Dec 1905,"1,302.0",,
Jan to Dec 1906,"1,352.0",,
Jan to Dec 1907,"1,378.0",,
Jan to Dec 1908,"1,397.0",,
Jan to Dec 1909,"1,390.0",,
Jan to Dec 1910,"1,435.0",,
Jan to Dec 1911,"1,464.0",,
Jan to Dec 1912,"1,442.0",,
Jan to Dec 1913,"1,550.0",,
Jan to Dec 1914,[x],,
Jan to Dec 1915,[x],,
Jan to Dec 1916,[x],,
Jan to Dec 1917,[x],,
Jan to Dec 1918,[x],,
Jan to Dec 1919,"2,064.0",,
Jan to Dec 1920,"2,186.0",,
Jan to Dec 1921,"1,787.0",,
Jan to Dec 1922,"1,749.0",,
Jan to Dec 1923,"1,772.0",,
Jan to Dec 1924,"1,747.0",,
Jan to Dec 1925,"1,743.0",,
Jan to Dec 1926,"1,542.0",,
Jan to Dec 1927,"1,651.0",,
Jan to Dec 1928,"1,250.0",,
Jan to Dec 1929,"1,268.0",,
Jan to Dec 1930,"1,238.0",,
Jan to Dec 1931,"1,172.0",,
Jan to Dec 1932,"1,141.0",,
Jan to Dec 1933,"1,159.0",,
Jan to Dec 1934,"1,200.0",,
Jan to Dec 1935,"1,231.0",,
Jan to Dec 1936,"1,257.0",,
Jan to Dec 1937,"1,295.0",,
Jan to Dec 1938 [note 5] [b],"1,237.0",,
Jan to Dec 1939,[x],,
Jan to Dec 1940,[x],,
Jan to Dec 1941,[x],,
Jan to Dec 1942,[x],,
Jan to Dec 1943,[x],,
Jan to Dec 1944,[x],,
Jan to Dec 1945,[x],,
Jan to Dec 1946,"1,266.0",,
Jan to Dec 1947,"1,140.0",,
Jan to Dec 1948,"1,024.0",,
Jan to Dec 1949,"1,021.0",,
Jan to Dec 1950,"1,010.0",,
Jan to Dec 1951,"1,030.0",,
Jan to Dec 1952,"1,017.0",,
Jan to Dec 1953,"1,015.0",,
