"Table 3123: Trains planned and cancellations by operator and cause, Great Britain, quarterly data, April 2019 to September 2025 [p] [r]",,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,
"Some shorthand is used in this table,  [p] = provisional data, [r] = revised data, [z] = data not applicable, [x] = data not available",,,,,,,,,,,,,,,
Time period,National or Operator,Number of trains planned ,Number of trains part cancelled,Number of trains full cancelled,Cancellations,"Cancellations by responsibility, infrastructure and network management","Cancellations by responsibility, infrastructure owner external event","Cancellations by responsibility, train operator fault","Cancellations by responsibility, operator external event","Quarterly cancellations
(percentage) ","Moving annual average cancellations 
(percentage)",,,,
Apr to Jun 2019,Great Britain,"1,967,448","30,508","32,320","47,574",[x],[x],[x],[x],2.4,[z],,,,
Jul to Sep 2019,Great Britain,"2,000,507","40,043","47,500","67,522",[x],[x],[x],[x],3.4,[z],,,,
Oct to Dec 2019,Great Britain,"1,933,648","47,351","55,453","79,129",[x],[x],[x],[x],4.1,[z],,,,
Jan to Mar 2020,Great Britain,"1,892,353","42,393","50,039","71,236",[x],[x],[x],[x],3.8,3.4,,,,
Apr to Jun 2020,Great Britain,"1,246,164","10,302","10,242","15,393",[x],[x],[x],[x],1.2,3.3,,,,
Jul to Sep 2020,Great Britain,"1,645,410","20,357","24,708","34,886",[x],[x],[x],[x],2.1,3.0,,,,
Oct to Dec 2020,Great Britain,"1,718,776","24,521","28,290","40,550",[x],[x],[x],[x],2.4,2.5,,,,
Jan to Mar 2021,Great Britain,"1,495,811","21,688","24,800","35,644",[x],[x],[x],[x],2.4,2.1,,,,
Apr to Jun 2021,Great Britain,"1,626,284","23,227","25,658","37,271",[x],[x],[x],[x],2.3,2.3,,,,
Jul to Sep 2021,Great Britain,"1,714,242","27,441","43,794","57,514",[x],[x],[x],[x],3.4,2.6,,,,
Oct to Dec 2021,Great Britain,"1,715,508","33,110","47,129","63,684",[x],[x],[x],[x],3.7,3.0,,,,
Jan to Mar 2022,Great Britain,"1,637,200","29,054","48,853","63,380",[x],[x],[x],[x],3.9,3.3,,,,
Apr to Jun 2022,Great Britain,"1,667,742","28,151","37,953","52,028",[x],[x],[x],[x],3.1,3.5,,,,
Jul to Sep 2022,Great Britain,"1,708,591","35,014","52,194","69,701",[x],[x],[x],[x],4.1,3.7,,,,
Oct to Dec 2022,Great Britain,"1,562,628","36,011","51,396","69,402",[x],[x],[x],[x],4.4,3.9,,,,
