"Table 3133: Train punctuality at recorded station stops by operator, Great Britain, quarterly data, April 2014 to September 2025",,,,,,,,,
This worksheet contains one table.,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,
"Some shorthand is used in this table, [z] = not applicable, [p] = provisional data",,,,,,,,,
Time period,National or Operator,"Number of recorded
station stops",Trains arriving within 59 seconds (percentage),"Trains arriving within 3 minutes 
(percentage)",Trains arriving within 15 minutes (percentage),"Moving annual total number of recorded
station stops",Moving annual average of trains arriving within 59 seconds  (percentage),Moving annual average of trains arriving within 3 minutes (percentage),Moving annual average of trains arriving within 15 minutes (percentage)
Apr to Jun 2014,Great Britain,"16,529,011",67.8,87.6,99.0,"64,913,801",64.4,85.0,98.6
Jul to Sep 2014,Great Britain,"16,793,877",65.6,85.9,98.8,"65,182,538",64.1,84.7,98.6
Oct to Dec 2014,Great Britain,"16,185,464",58.7,80.6,98.4,"65,483,661",64.1,84.8,98.7
Jan to Mar 2015,Great Britain,"16,263,773",65.6,85.7,98.8,"65,772,125",64.5,85.0,98.8
Apr to Jun 2015,Great Britain,"16,658,713",67.5,87.3,99.0,"65,901,826",64.4,84.9,98.8
Jul to Sep 2015,Great Britain,"16,915,253",65.1,85.8,98.8,"66,023,202",64.3,84.9,98.8
Oct to Dec 2015,Great Britain,"16,773,969",57.0,79.4,98.2,"66,611,707",63.8,84.5,98.7
Jan to Mar 2016,Great Britain,"16,864,342",63.2,84.4,98.7,"67,212,277",63.2,84.2,98.7
Apr to Jun 2016,Great Britain,"17,202,729",65.3,85.6,98.7,"67,756,294",62.7,83.8,98.6
Jul to Sep 2016,Great Britain,"17,537,622",62.3,83.6,98.5,"68,378,663",62.0,83.3,98.5
Oct to Dec 2016,Great Britain,"17,323,769",56.1,78.5,98.0,"68,928,462",61.7,83.0,98.5
Jan to Mar 2017,Great Britain,"17,455,270",64.2,84.8,98.7,"69,519,390",62.0,83.1,98.5
Apr to Jun 2017,Great Britain,"18,149,453",67.1,86.8,98.9,"70,466,113",62.5,83.5,98.5
Jul to Sep 2017,Great Britain,"18,521,796",64.6,85.2,98.8,"71,450,288",63.1,83.9,98.6
Oct to Dec 2017,Great Britain,"18,024,436",57.3,79.2,98.2,"72,150,955",63.3,84.0,98.6
Jan to Mar 2018,Great Britain,"17,774,862",62.3,83.0,98.4,"72,470,546",62.8,83.6,98.6
Apr to Jun 2018,Great Britain,"18,645,902",64.9,84.2,98.4,"72,966,995",62.3,82.9,98.4
Jul to Sep 2018,Great Britain,"19,098,428",63.2,82.7,98.2,"73,543,628",61.9,82.3,98.3
Oct to Dec 2018,Great Britain,"18,536,043",59.0,79.6,98.1,"74,055,236",62.3,82.4,98.3
Jan to Mar 2019,Great Britain,"19,435,532",67.0,85.9,98.8,"75,715,906",63.5,83.1,98.4
Apr to Jun 2019,Great Britain,"20,495,458",69.5,87.5,98.9,"77,565,461",64.8,84.0,98.5
Jul to Sep 2019,Great Britain,"20,787,343",65.1,84.2,98.4,"79,254,376",65.3,84.4,98.6
Oct to Dec 2019,Great Britain,"19,880,215",59.4,79.7,97.9,"80,598,548",65.3,84.4,98.5
Jan to Mar 2020,Great Britain,"19,601,019",65.7,84.2,98.5,"80,764,035",65.0,84.0,98.5
Apr to Jun 2020,Great Britain,"13,608,749",86.5,95.8,99.6,"73,877,326",67.7,85.1,98.5
Jul to Sep 2020,Great Britain,"17,770,422",79.4,92.8,99.3,"70,860,405",71.4,87.3,98.7
Oct to Dec 2020,Great Britain,"18,542,241",74.8,90.7,99.2,"69,522,430",75.7,90.4,99.1
Jan to Mar 2021,Great Britain,"16,612,117",80.5,93.1,99.3,"66,533,528",79.8,92.9,99.3
Apr to Jun 2021,Great Britain,"18,044,048",78.1,92.2,99.2,"70,968,828",78.1,92.2,99.3
Jul to Sep 2021,Great Britain,"18,817,546",74.4,90.1,99.0,"72,015,952",76.8,91.5,99.2
Oct to Dec 2021,Great Britain,"18,682,520",67.7,85.9,98.6,"72,156,232",75.0,90.2,99.0
Jan to Mar 2022,Great Britain,"17,765,717",72.5,89.0,98.9,"73,309,832",73.1,89.3,98.9
Apr to Jun 2022,Great Britain,"18,245,915",72.6,88.8,98.8,"73,511,699",71.8,88.4,98.8
Jul to Sep 2022,Great Britain,"18,608,970",67.7,85.4,98.2,"73,303,122",70.1,87.2,98.6
Oct to Dec 2022,Great Britain,"16,952,204",62.3,81.6,97.9,"71,572,805",68.9,86.2,98.5
Jan to Mar 2023,Great Britain,"18,484,140",68.2,85.8,98.4,"72,291,228",67.8,85.4,98.3
Apr to Jun 2023,Great Britain,"19,421,436",70.7,87.1,98.4,"73,466,749",67.4,85.1,98.2
Jul to Sep 2023,Great Britain,"19,418,137",69.2,86.4,98.4,"74,275,916",67.8,85.3,98.3
Oct to Dec 2023,Great Britain,"19,522,167",62.2,81.2,97.6,"76,845,879",67.6,85.1,98.2
Jan to Mar 2024,Great Britain,"19,920,851",68.3,85.9,98.5,"78,282,591",67.6,85.1,98.2
Apr to Jun 2024,Great Britain,"20,521,432",70.1,86.9,98.5,"79,382,586",67.5,85.1,98.3
Jul to Sep 2024,Great Britain,"20,858,777",67.7,85.1,98.2,"80,823,227",67.1,84.8,98.2
Oct to Dec 2024,Great Britain,"20,370,674",62.1,81.1,97.8,"81,671,734",67.0,84.8,98.2
Jan to Mar 2025,Great Britain,"20,798,952",68.1,85.9,98.5,"82,549,835",67.0,84.8,98.3
Apr to Jun 2025 [p],Great Britain,"21,566,010",69.0,86.3,98.5,"83,594,413",66.8,84.6,98.2
Jul to Sep 2025 [p],Great Britain,"21,785,120",66.8,84.8,98.3,"84,520,756",66.5,84.6,98.3
Apr to Jun 2014,England and Wales,"15,027,785",67.7,87.3,99.0,"59,130,777",64.6,84.8,98.5
Jul to Sep 2014,England and Wales,"15,250,581",66.0,86.0,98.8,"59,285,776",64.2,84.5,98.5
Oct to Dec 2014,England and Wales,"14,723,410",58.9,80.4,98.3,"59,523,707",64.2,84.5,98.6
Jan to Mar 2015,England and Wales,"14,784,968",65.9,85.6,98.8,"59,786,744",64.6,84.8,98.7
Apr to Jun 2015,England and Wales,"15,142,945",67.5,86.9,98.9,"59,901,904",64.6,84.7,98.7
Jul to Sep 2015,England and Wales,"15,380,411",65.2,85.5,98.8,"60,031,733",64.4,84.6,98.7
Oct to Dec 2015,England and Wales,"15,274,871",57.3,79.3,98.1,"60,583,194",64.0,84.3,98.6
Jan to Mar 2016,England and Wales,"15,327,710",63.2,84.1,98.6,"61,125,936",63.3,84.0,98.6
Apr to Jun 2016,England and Wales,"15,695,010",65.3,85.4,98.6,"61,678,002",62.8,83.6,98.5
Jul to Sep 2016,England and Wales,"15,979,129",62.4,83.4,98.4,"62,276,720",62.1,83.1,98.4
Oct to Dec 2016,England and Wales,"15,764,576",56.2,78.3,97.9,"62,766,425",61.8,82.8,98.4
Jan to Mar 2017,England and Wales,"15,890,105",64.1,84.5,98.5,"63,328,821",62.0,82.9,98.4
Apr to Jun 2017,England and Wales,"16,545,026",67.0,86.6,98.8,"64,178,837",62.5,83.3,98.4
Jul to Sep 2017,England and Wales,"16,898,304",64.3,84.8,98.7,"65,098,011",63.0,83.6,98.5
Oct to Dec 2017,England and Wales,"16,480,733",57.5,79.3,98.1,"65,814,168",63.2,83.8,98.6
Jan to Mar 2018,England and Wales,"16,266,042",62.3,82.8,98.3,"66,190,104",62.8,83.4,98.5
Apr to Jun 2018,England and Wales,"17,070,111",64.8,83.9,98.2,"66,715,189",62.2,82.7,98.4
Jul to Sep 2018,England and Wales,"17,498,099",63.2,82.6,98.1,"67,314,984",62.0,82.2,98.2
Oct to Dec 2018,England and Wales,"16,933,112",59.4,79.7,98.0,"67,767,362",62.4,82.2,98.2
Jan to Mar 2019,England and Wales,"17,469,276",67.0,85.8,98.7,"68,970,597",63.6,83.0,98.3
Apr to Jun 2019,England and Wales,"18,238,870",69.4,87.2,98.9,"70,139,356",64.8,83.9,98.4
Jul to Sep 2019,England and Wales,"18,512,044",64.8,83.7,98.3,"71,153,301",65.2,84.2,98.5
Oct to Dec 2019,England and Wales,"17,679,205",59.3,79.2,97.7,"71,899,394",65.2,84.0,98.4
Jan to Mar 2020,England and Wales,"17,457,562",65.6,83.8,98.3,"71,887,680",64.8,83.5,98.3
Apr to Jun 2020,England and Wales,"12,379,927",86.7,95.8,99.6,"66,028,737",67.6,84.8,98.4
Jul to Sep 2020,England and Wales,"15,896,581",79.6,92.8,99.3,"63,413,274",71.5,87.1,98.6
Oct to Dec 2020,England and Wales,"16,497,843",75.1,90.7,99.2,"62,231,912",75.9,90.3,99.0
Jan to Mar 2021,England and Wales,"14,904,416",80.5,93.0,99.3,"59,678,766",80.1,92.9,99.3
Apr to Jun 2021,England and Wales,"16,302,566",78.2,92.1,99.2,"63,601,405",78.3,92.1,99.2
Jul to Sep 2021,England and Wales,"16,967,106",74.6,90.0,98.9,"64,671,931",77.0,91.4,99.1
Oct to Dec 2021,England and Wales,"16,819,260",68.2,85.9,98.5,"64,993,348",75.2,90.2,99.0
Jan to Mar 2022,England and Wales,"15,958,850",72.5,88.8,98.8,"66,047,782",73.4,89.2,98.9
Apr to Jun 2022,England and Wales,"16,655,723",72.4,88.5,98.7,"66,400,939",71.9,88.3,98.7
